zero_activity_freq,rolling_mean_inflows,rolling_std_inflows,gross_activity,inflows,lag_inflows,inflow_diff,balance_anomaly_flag,income_diff,balance_change
0.22153137124700786,0.10669771637467092,0.10644323786469487,0.060085162996274845,0.051723283711224484,0.055591553869125274,-0.9766744704591794,0.11054751807668163,-0.06137613215499848,0.0
0.23598922779637627,0.10757498238353454,0.106621873294497,0.0607225021339197,0.05173269526758353,0.0556924666685573,-0.9764300857810893,0.10864598639150139,0.20270561026427358,0.0
0.23598922779637627,0.10757498238353454,0.106621873294497,0.0607225021339197,0.05173269526758353,0.0556924666685573,-0.9764300857810893,0.10864598639150139,0.20270561026427358,0.0
0.23598922779637627,0.10757498238353454,0.106621873294497,0.0607225021339197,0.05173269526758353,0.0556924666685573,-0.9764300857810893,0.10864598639150139,0.20270561026427358,0.0
0.23808359537370577,0.10757498238353454,0.10658893603717318,0.06071720479879323,0.05173269526758353,0.055661061007998586,-0.9764300857810893,0.10858139558164545,0.200745473749809,0.0
0.14861772342719104,0.098524608851448,0.09092524441357369,0.058137005904020884,0.050657061309124764,0.049803980188345705,-0.8960602761147484,0.07657745050659427,-3.7561506436345167,0.0
0.23575509957313262,0.10757498238353454,0.10628290615464742,0.06072316487803448,0.05173269526758353,0.05569927000510472,-0.9764296417311863,0.10864852607887121,0.20326825580943186,0.0
-1.3380506375552483,0.1024488702448063,0.11954810508997517,0.07154221679452048,0.054712372063402584,0.0713969433836332,-0.9742677103991466,0.05133823784407246,-0.010652870223617035,0.0
-0.6246871513084733,0.10079510556721996,0.1122595440888506,0.068268210369573,0.05390994352151942,0.06903168865611106,-0.8944289329514428,0.05700511113459391,-2.13241790463393,0.0
-3.276158001873867,0.08949844907240617,0.0952727257359494,0.062341886351172944,-0.05961840704390341,0.06646285857889045,-0.8968936767046315,0.07787190767720374,0.015907809055616777,0.0
-2.492944862031183,0.08682342093286603,0.0810081193872279,0.05663197593666476,0.05130178673558378,-0.2725254304488157,-0.8112555162644789,0.07158121227677626,-3.266705597616246,0.0
-3.276155885177471,0.09041973370823908,0.09529029076004521,0.062573655078835,0.055504245412687385,0.06799662249716824,-0.8931361287946292,0.07810964361517085,0.015072923482970721,0.0
-2.6785489909756137,0.08982042113070098,0.08998927278909614,0.05819682371181376,0.05594488026257455,0.06601005385510958,-0.812171109333331,0.08237856491829294,-1.8027198127208375,0.0
-3.2530715009823363,0.09321128400522188,0.08828963378881297,0.06254834849685356,0.055504245412687385,0.06947000818581663,-0.8920853335584795,0.07934964210810914,0.15789667945868513,0.0
