balance,zero_activity_freq,zero_activity_day,cumulativeincome,lag_balance,lag_cumulativeincome,rolling_mean_balance,rolling_mean_cumulativeincome,rolling_std_cumulativeincome
-0.04838158190250397,0.048969659954309464,0.008537459187209606,-0.0036521945148706436,-0.02929483726620674,-0.00365374144166708,-0.03501033037900925,-0.0016783263999968767,-0.022273294627666473
-0.06177956610918045,0.057635921984910965,0.01270707044750452,-0.006994033232331276,-0.03357610106468201,-0.010071112774312496,-0.04306573048233986,-0.006052955985069275,-0.051633208990097046
-0.05122959613800049,0.09059091657400131,0.0007088723941706121,-0.0035684602335095406,-0.021306132897734642,-0.014824599027633667,-0.02492867410182953,-0.005397898145020008,-0.002227115910500288
-0.04102281108498573,0.07052972167730331,0.003776568453758955,-0.002834971761330962,-0.021480601280927658,-0.005323390476405621,-0.025423774495720863,-0.0013839352177456021,0.03703824058175087
-0.04243457317352295,0.036041803658008575,0.012202276848256588,-0.018558444455266,-0.013838044367730618,-0.0136411739513278,-0.018921470269560814,-0.010513804852962494,0.08124370872974396
-0.05162174627184868,0.023740999400615692,0.00730507355183363,-0.006742484401911497,-0.022427590563893318,-0.010428318753838539,-0.025064144283533096,-0.00566247571259737,0.06356058269739151
-0.04622996225953102,0.02122579887509346,0.006393743678927422,-0.0052479286678135395,-0.018488246947526932,-0.00796015840023756,-0.023946251720190048,-0.004486581310629845,0.03944491967558861
-0.06514468789100647,-0.010766339488327503,-0.26485130190849304,-0.008075853809714317,-0.030987408012151718,-0.008278097957372665,-0.03098876215517521,-0.006920307409018278,-0.021285679191350937
-0.028067555278539658,-0.19865894317626953,0.0034067214000970125,-0.00046811436186544597,-0.011575188487768173,-0.00042815637425519526,-0.014973699115216732,-0.000518122804351151,-0.026688823476433754
-0.06002557650208473,-0.017859380692243576,-0.15185998380184174,-0.011156780645251274,-0.02339494414627552,-0.007905494421720505,-0.023128705099225044,-0.004718273412436247,-0.017104748636484146
-0.07041461765766144,-0.24234232306480408,4.463744699023664e-05,-0.011706570163369179,-0.027021436020731926,-0.010631983168423176,-0.04135363921523094,-0.0051847342401742935,-0.05804654210805893
-0.06479020416736603,-0.18181870877742767,0.0104172732681036,-0.0023428811691701412,-0.02147100679576397,-0.004181900527328253,-0.02910275012254715,-0.0022933289874345064,-0.05879174545407295
-0.048127345740795135,-0.22520549595355988,0.00039171960088424385,-0.000917568861041218,-0.016438907012343407,-0.0013109828578308225,-0.02609509974718094,-0.0009029799839481711,-0.02660755068063736
-0.06156489998102188,-0.2433648258447647,0.007979047484695911,-0.0024802081752568483,-0.019241787493228912,-0.0029349857941269875,-0.031977325677871704,-0.005156178027391434,-0.02407708577811718
-0.05684648081660271,-0.19017988443374634,0.010787216015160084,-0.007938734255731106,-0.02496343106031418,-0.009006603620946407,-0.032131511718034744,-0.005098208785057068,-0.06412624567747116
-0.03418724611401558,-0.24764885008335114,0.010518624447286129,-0.004027116112411022,-0.018411671742796898,-0.007955316454172134,-0.021072305738925934,-0.005121631547808647,-0.03167835623025894
-0.036789316684007645,0.05209590122103691,0.013867340050637722,-0.0034516393207013607,-0.0177990160882473,-0.004442332778126001,-0.024774814024567604,-0.0060875494964420795,-0.036403313279151917
-0.05693353712558746,0.018318861722946167,0.002389269880950451,-0.00450942711904645,-0.02188834920525551,-0.008038639090955257,-0.030977468937635422,-0.0037884062621742487,-0.015621057711541653
-0.12082211673259735,-0.009082644246518612,-0.18508581817150116,-0.007942053489387035,-0.05935338884592056,-0.008754270151257515,-0.05447705090045929,-0.005480070132762194,-0.031054625287652016
-0.06072205677628517,-0.23784659802913666,0.008270434103906155,-0.009396232664585114,-0.024910902604460716,-0.012181639671325684,-0.03308044746518135,-0.007148252334445715,-0.027215223759412766
-0.056522078812122345,-0.18636970221996307,0.014980312436819077,-0.010511759668588638,-0.030139878392219543,-0.010836401022970676,-0.03548850119113922,-0.006721726153045893,-0.07287022471427917
