balance,zero_activity_freq,cumulativeincome,lag_balance,lag_cumulativeincome,rolling_mean_balance,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,balance_error_flag,has_trigger
-0.019802652909385633,-0.07112140288544783,-0.004502426291584781,-0.028931099076473257,0.0001922439149614208,-0.020841898204924214,-0.00031466672973657473,-0.022931478570668427,-0.0981656676291595,-0.044865829356462696
-0.020007282578282527,-0.07302814198314747,-0.00498708207808892,-0.025518423079954274,-0.0018082680174790963,-0.018405059841384065,0.00029431208166241785,-0.023500993102947974,-0.096266894862734,-0.04811091480187492
-0.02291116308635016,-0.07361778327656733,-0.0025341816603410227,-0.030697963500241444,-0.002397352917675704,-0.01583701304543362,-0.0013309084622702971,-0.02378759043789638,-0.0962182089759956,-0.044441490587818364
-0.022645298932405716,-0.07253472000895839,-0.00323816364432791,-0.02714698813993725,0.0021248082777137745,-0.01992870619648273,-0.0011424838934592687,-0.024969473102965288,-0.09737642730737647,-0.04586782888549163
-0.021354400029008836,-0.07390065405382915,-0.0037256247647445445,-0.027553188134370972,-0.0005896662532938746,-0.017449447010762918,-0.0012126490477085492,-0.024832797416550655,-0.09686955433982078,-0.045196322189303716
-0.02467761328061752,-0.07199095325557026,-0.002318358311240724,-0.026800455286261793,-0.0002504026898097478,-0.018498168407990893,-0.00035132502904593584,-0.026603857879768437,-0.09439093835229209,-0.04675905283678773
-0.02232664472753451,-0.07413325253576102,0.00034284364263248435,-0.02806140228538898,-0.0019685711639244037,-0.016902842973073158,-7.688687526645311e-05,-0.026697859174846794,-0.09666506022550037,-0.04610772918459732
-0.021446741088454582,-0.05967619580715196,-0.001383898253233813,-0.02674760791301109,-0.000707377672402786,-0.01854186845395234,-3.3542709647560454e-05,-0.026697777936602343,-0.09194226578621606,0.555749743849031
-0.022346457493096925,-0.05768507903212754,-0.0025840443058548915,-0.02827854900066368,-0.0020178300321723277,-0.018636311770261534,-0.0010907967994978063,-0.020943816222533933,-0.09457648938726418,-0.044907391617978944
-0.02723316997109578,0.059860827565769076,-0.004926201706184067,-0.027654532641362136,8.426635316705067e-05,-0.017577877849166413,0.0019259745947281322,-0.020574743347912507,-0.08717828703011615,0.556096541761324
-0.02313625913811523,0.06288585597980414,-0.0019901229620497563,-0.02912826722000095,0.0,-0.020749065894702243,0.0008789271017343386,-0.019812125904614262,-0.09707204209185043,-0.044528626698105846
-0.025445701912295553,0.06171981125597858,-0.006325117920003051,-0.027296604479264984,-0.0012839489269042114,-0.017216073392208896,0.0007424342223376346,-0.018034955294641927,-0.0941242905089945,-0.0455083483535342
-0.02590369834886039,0.06447183029557467,-0.003666016086182288,-0.028768537045045152,-0.002568568891718099,-0.018478500436146756,0.001996906699035461,-0.020105334831363005,-0.09607114880310683,-0.043799913426542395
-0.023143219857248584,0.06636147644645515,-0.0017570857876230144,-0.029826719888991965,-0.0030967204161177343,-0.01757879976879795,0.0017875906571399314,-0.022293658333665645,-0.09651169540369701,-0.04695624667425118
-0.021304535108362048,-0.056037090807332705,-0.004244632490420286,-0.02801040479167522,-0.003891866269985436,-0.017751461991178295,0.0,-0.019860297736746114,-0.0979659571407026,-0.04482700745637083
