balance,zero_activity_freq,ratio,cumulativeincome,lag_balance,lag_cumulativeincome,rolling_mean_balance,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,has_trigger
-0.003402646165341139,0.016734056174755096,-0.025547010824084282,-0.003370376769453287,-0.0031125464010983706,-0.0036405541468411684,-0.003110338468104601,-0.0018168448004871607,-0.010065431706607342,-0.0010214467765763402
-0.005735855549573898,0.012410512194037437,-0.04233664646744728,-0.008814194239675999,-0.00468581123277545,-0.014249797910451889,-0.0052893334068357944,-0.006312508136034012,-0.01948390156030655,-0.0011239148443564773
-0.011363609693944454,0.02289191260933876,-0.07062127441167831,-0.021545205265283585,-0.008494068868458271,-0.024398300796747208,-0.009216428734362125,-0.011694470420479774,-0.02164120227098465,-0.00668986514210701
-0.014487050473690033,0.057391028851270676,-0.07129812985658646,-0.010198691859841347,-0.008439370431005955,-0.009467673487961292,-0.01179515477269888,-0.007248076144605875,-0.023041240870952606,-0.016615858301520348
-0.010970460250973701,0.009481136687099934,-0.05145544558763504,-0.01817014440894127,-0.006635145749896765,-0.014631073921918869,-0.008654152043163776,-0.008813565596938133,-0.025943301618099213,-0.0005828748107887805
-0.014666246250271797,0.033805444836616516,-0.06769035011529922,-0.022015733644366264,-0.00975416786968708,-0.027888722717761993,-0.012978136539459229,-0.0141981840133667,-0.0411093570291996,-2.414709115328151e-06
-0.014943216927349567,0.08852656185626984,-0.0721079558134079,-0.01937086135149002,-0.010238146409392357,-0.018777377903461456,-0.01001882553100586,-0.009759766981005669,-0.02895691804587841,-0.024419154971837997
-0.007984194904565811,0.011316868476569653,-0.03805366903543472,-0.01288640033453703,-0.005584152415394783,-0.010872512124478817,-0.006699230056256056,-0.005089204292744398,-0.005762557499110699,-1.1339971933921333e-05
-0.012178420089185238,0.01528855413198471,-0.052942145615816116,-0.012622462585568428,-0.008563484065234661,-0.012178859673440456,-0.009713595733046532,-0.0059033604338765144,-0.014819619245827198,-0.0013093287125229836
-0.014239276759326458,0.022890493273735046,-0.07556851953268051,-0.017739806324243546,-0.008683568798005581,-0.015710845589637756,-0.011786950752139091,-0.009529968723654747,-0.006898713763803244,-0.06173637881875038
-0.010482546873390675,0.008576729334890842,-0.07729814946651459,-0.01320566888898611,-0.006603152025490999,-0.01350598968565464,-0.008632746525108814,-0.008240332826972008,-0.02600223757326603,-7.610594911966473e-05
-0.015921244397759438,0.022863199934363365,-0.08388416469097137,-0.01833086460828781,-0.010764876380562782,-0.018215125426650047,-0.012153994292020798,-0.008390996605157852,-0.006394912023097277,-0.00014386391558218747
-0.013618133030831814,0.01616167463362217,-0.09756997227668762,-0.009527772665023804,-0.009924831800162792,-0.015265868045389652,-0.011187335476279259,-0.006138604134321213,-0.015028745867311954,-0.03000284731388092
-0.01016490813344717,0.021447163075208664,-0.07305411249399185,-0.013174341060221195,-0.007369160186499357,-0.01212017796933651,-0.00874349195510149,-0.006428757216781378,-0.020312316715717316,-0.002125851111486554
-0.008534291759133339,0.022460943087935448,-0.04041794314980507,-0.013111229054629803,-0.005994684062898159,-0.011509183794260025,-0.007449883036315441,-0.005708430893719196,-0.010639787651598454,-0.07365654408931732
-0.012618068605661392,0.010638521052896976,-0.08176831901073456,-0.02760205790400505,-0.00895419716835022,-0.03226565942168236,-0.011172243393957615,-0.016678746789693832,-0.011207673698663712,-0.0025043576024472713
-0.010223343037068844,0.008516623638570309,-0.05367206037044525,-0.01841505616903305,-0.007576517295092344,-0.01849009096622467,-0.008907824754714966,-0.009232916869223118,-0.02734231762588024,-0.061391666531562805
-0.010962191969156265,0.011249031871557236,-0.06649313122034073,-0.02717926725745201,-0.008044158108532429,-0.030518222600221634,-0.010411398485302925,-0.01785927452147007,-0.026904556900262833,-1.5252710909408052e-05
-0.006777288857847452,0.013765458017587662,-0.04436530917882919,-0.007159963250160217,-0.004925604909658432,-0.006758569274097681,-0.0044057779014110565,-0.003378939349204302,-0.0037990491837263107,-0.06182732433080673
-0.006699373014271259,0.015785271301865578,-0.039189741015434265,-0.01465783640742302,-0.00468938983976841,-0.011963954195380211,-0.005776171572506428,-0.005940192379057407,-0.007901167497038841,-2.4379963292631146e-07
-0.00832433719187975,0.011637227609753609,-0.05989382416009903,-0.009790872223675251,-0.005483999382704496,-0.02397041954100132,-0.007299376651644707,-0.012028247117996216,-0.0227619931101799,-0.0061189341358840466
-0.013492325320839882,0.010801848955452442,-0.07546133548021317,-0.020854294300079346,-0.009057735092937946,-0.03488648310303688,-0.011970914900302887,-0.016891958191990852,-0.02300144173204899,0.0
-0.009268751367926598,0.026555825024843216,-0.05758840963244438,-0.00949376355856657,-0.005670094862580299,-0.01509687677025795,-0.007378207053989172,-0.00913968589156866,-0.025848831981420517,-0.001081835012882948
-0.011068092659115791,0.03592347353696823,-0.05432447791099548,-0.01505024079233408,-0.007410687394440174,-0.013797938823699951,-0.007418225519359112,-0.006528152152895927,-0.018696224316954613,-4.637515303329565e-06
