anomaly_score_adjusted,has_trigger,balance_error_flag,has_activity,inflow_spike,outflow_to_inflow,outflow_spike,balance,cumulativeincome,rolling_income_std,incomedistribution,zero_activity_freq,rolling_30_balance_std,ratio,rolling_30_inflows_mean,is_income_distribution_day,gross_activity,clientid,fundname,transactiondate,anomaly_score,is_first_transaction,inflows,outflows,client_tenure,dayofweek,month,is_weekend,lag_inflows,rolling_mean_inflows,rolling_std_inflows,lag_balance,rolling_mean_balance,rolling_std_balance,lag_cumulativeincome,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,is_anomaly
-0.26780391827708666,3.312938789786611,-0.2294180983986201,5.238221254097949,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13935696086075153,-0.07091369180769326,-0.03055635111510901,-8.033819843083116,-0.07098164588220736,-0.015782498764719443,0.04579674040602034,-0.19207496930540102,0.06137654225054292,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-08-29,0.0,True,0.08225326592816516,0.0,-1.4856316373157525,3,8,False,-0.015124477871201124,-0.001213371614148798,0.0368053276176965,1.5194395990334995,1.2800548287035791,0.6314130890073893,2.336090595462264,1.803371200524287,0.868532918801511,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13848084001417463,-0.06060384623889335,-0.03055635111510901,-3.826937545889623,-0.07096986627577091,-0.02032681909510182,0.004146644761844333,-0.19207496930540102,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-08-30,0.0,False,0.0,0.0,-1.4698470601434441,4,8,False,0.08225326592816516,-0.0012133716141487973,0.0368053276176965,-0.15185501111738547,1.0415084971941155,0.8152215128559772,-0.13935696086075153,1.5095945358175331,1.1313430955513257,1
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.1375136267744912,-0.062451185676584545,-0.02155403200550474,-2.424643446825125,-0.07096411383978402,-0.02032681909510182,-0.009736720452881,5.206300454537575,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-08-31,0.0,False,0.0,0.0,-1.4540624829711355,5,8,True,-0.015124477871201124,-0.0012133716141487973,0.0368053276176965,-0.15185193685047446,0.8029208748197149,0.893108126640731,-0.13848084001417463,1.2040505820003686,1.25812826135981,1
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13936153089489314,-0.06371065851147781,-0.03055635111510901,-1.7234963972928758,-0.0709586087192874,-0.020638941307800855,-0.01667840306024367,-0.19207496930540102,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-09-01,0.0,False,0.0,0.0,-1.438277905798827,6,9,True,-0.015124477871201124,-0.0012133716141487973,0.0368053276176965,-0.1518485429446334,0.5642919630897619,0.89318617696909,-0.1375136267744912,0.8863383977190661,1.279327954617807,1
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13847946890974996,-0.0632828392350338,-0.03055635111510901,-1.302808167573526,-0.07095367201035246,-0.024342194610111056,-0.020843412624661273,-0.19207496930540102,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-09-02,0.0,False,0.0,0.0,-1.4224933286265187,0,9,False,-0.015124477871201124,-0.0012133716141487973,0.0368053276176965,-0.15184516839704196,0.3256210942477241,0.8154346544672083,-0.13936153089489314,0.5566690536908274,1.1877015259599721,1
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13756758745968153,-0.06397659080816116,-0.03055635111510901,-1.0223493477606265,-0.07094872266941302,-0.02659100956881964,-0.023620085667606337,-0.19207496930540102,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-09-03,0.0,False,0.0,0.0,-1.40670875145421,1,9,False,-0.015124477871201124,-0.0012133716141487973,0.0368053276176965,-0.15184207328295468,0.08690828470103387,0.6316869338624321,-0.13847946890974996,0.21504722579264396,0.9352925076158504,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13670593494500372,-0.0634085831511007,-0.03055635111510901,-0.8220216193228418,-0.07094398074440837,-0.0306959283415704,-0.02560342355542424,-0.19207496930540102,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-09-04,0.0,False,0.0,0.0,-1.3909241742819016,2,9,False,-0.015124477871201124,-0.0012133716141487973,0.0368053276176965,-0.15183887353376518,-0.1518453508802591,6.831636240314342e-06,-0.13756758745968153,-0.13820942140839426,0.0009956020981337326,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13580504819904277,-0.06421620099252263,-0.03055635111510901,0.3799447513038712,-0.07093916687463139,-0.03274135218626609,-0.027090926971287673,-0.19207496930540102,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-09-05,0.0,False,0.0,0.0,-1.3751395971095932,3,9,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.1518358500355514,-0.1518421619872415,6.78049494666425e-06,-0.13670593494500372,-0.13770200531386445,0.0011978597101687065,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13509924518185046,-0.05670867723191059,-0.03055635111510901,0.3799447513038712,-0.07093497197881815,-0.04196942449122838,-0.028247874072514785,-0.19207496930540102,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-09-06,0.0,False,0.0,0.0,-1.3593550199372848,4,9,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.15183268886626236,-0.15183905847097617,6.527845078623839e-06,-0.13580504819904277,-0.13721892033781816,0.0014800555433092846,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.13413046883163662,-0.05666870704456391,-0.03055635111510901,0.3799447513038712,-0.07093029187768138,-0.04196942449122838,-0.029173431753496473,-0.19207496930540102,-0.01763055510438104,E5C3CA9F-AD5E-EF11-B2FB-005056A80461,MONEY MARKET FUND,2024-09-07,0.0,False,0.0,0.0,-1.3435704427649762,5,9,True,-0.015124477871201124,-0.015124477871201124,0.0,-0.1518302122366171,-0.15183595417115633,6.431950472738264e-06,-0.13509924518185046,-0.1367356120602675,0.0018690442768184547,0
