clientid,transactiondate,inflows,outflows,balance,inflow_spike,outflow_spike,client_tenure,cumulativeincome,anomaly_score_pred
B6D89A91-C40E-F011-B304-005056A80461,2025-04-03,0.0,0.0,7002389.366379,0,0,-1.4698470601434441,0.009700622771294819,3.6921420251481103
B6D89A91-C40E-F011-B304-005056A80461,2025-04-04,0.0,0.0,7003550.192717,0,0,-1.4540624829711355,0.08258673937637476,3.2798530563364414
B6D89A91-C40E-F011-B304-005056A80461,2025-04-05,0.0,0.0,7004709.467494,0,0,-1.438277905798827,0.15537543636556223,3.261158087052563
B6D89A91-C40E-F011-B304-005056A80461,2025-04-06,0.0,0.0,7005868.621967,0,0,-1.4224933286265187,0.22815657969139358,3.342158000236671
B6D89A91-C40E-F011-B304-005056A80461,2025-04-07,0.0,0.0,7007034.838793,0,0,-1.40670875145421,0.3013811549651519,3.466768633516741
B6D89A91-C40E-F011-B304-005056A80461,2025-04-08,0.0,0.0,7008243.718529,0,0,-1.3909241742819016,0.37728445463650573,3.61103591795563
B6D89A91-C40E-F011-B304-005056A80461,2025-04-09,0.0,0.0,7009455.636869,0,0,-1.3751395971095932,0.45337854257498506,3.596295096256388
B6D89A91-C40E-F011-B304-005056A80461,2025-04-10,0.0,0.0,7010667.348074,0,0,-1.3593550199372848,0.5294596248938737,3.5972497446925935
B6D89A91-C40E-F011-B304-005056A80461,2025-04-11,0.0,0.0,7011880.130889,0,0,-1.3435704427649762,0.6056079916022167,3.5982302512623208
B6D89A91-C40E-F011-B304-005056A80461,2025-04-12,0.0,0.0,7013092.78948,0,0,-1.3277858655926678,0.6817485585177289,3.599221540072685
B6D89A91-C40E-F011-B304-005056A80461,2025-04-13,0.0,0.0,7014305.323847,0,0,-1.3120012884203593,0.7578813256404101,3.6000659120517446
B6D89A91-C40E-F011-B304-005056A80461,2025-04-14,0.0,0.0,7015488.629763,0,0,-1.2962167112480507,0.8321788929420377,3.6004996817711876
B6D89A91-C40E-F011-B304-005056A80461,2025-04-15,0.0,0.0,7016702.963522,0,0,-1.2804321340757423,0.9084246405259963,3.600968773038421
B6D89A91-C40E-F011-B304-005056A80461,2025-04-16,0.0,0.0,7017906.179648,0,0,-1.264647556903434,0.9839723327086566,3.60161966959038
B6D89A91-C40E-F011-B304-005056A80461,2025-04-17,0.0,0.0,7019118.341842,0,0,-1.2488629797311253,1.0600817317841225,3.603041541294884
B6D89A91-C40E-F011-B304-005056A80461,2025-04-18,0.0,0.0,7020385.411105,0,0,-1.2330784025588168,1.1396386431209589,3.606332257329428
B6D89A91-C40E-F011-B304-005056A80461,2025-04-19,0.0,0.0,7021600.291583,0,0,-1.2172938253865084,1.2159187181693105,3.6117037306763615
B6D89A91-C40E-F011-B304-005056A80461,2025-04-20,0.0,0.0,7022815.04766,0,0,-1.2015092482142,1.292190982311332,3.619139599541234
