anomaly_score_adjusted,has_activity,outflow_to_inflow,zero_activity_freq,outflows,gross_activity,balance_anomaly_flag,is_income_distribution_day,outflow_diff,has_reversal,inflow_diff,inflows,rolling_income_std,balance_change,income_diff,clientid,fundname,transactiondate,anomaly_score,dayofweek,month,is_weekend,lag_inflows,rolling_mean_inflows,rolling_std_inflows,is_anomaly
-0.15684476816690138,5.238221254097949,-0.10877303264298453,-8.033819843083116,0.0,-0.016050413157282565,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.07091369180769326,0.0006020355448156202,0.002877086248258544,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-11-25,0.0,0,11,False,-0.015124477871201124,-0.014846255746060077,0.0007361065523716487,1
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,-3.826937545889623,0.0,-0.01763055510438104,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.00677611727163834,0.0,-0.07086413570324725,0.0006022809337200539,0.0027995714276741615,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-11-26,0.0,1,11,False,-0.0131769229952138,-0.014846255746060077,0.0007361065523716487,1
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,-2.424643446825125,0.0,-0.01763055510438104,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.07078960244038714,0.0006022410227646958,0.0026877977746332707,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-11-27,0.0,2,11,False,-0.015124477871201124,-0.014846255746060077,0.0007361065523716487,0
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,-1.7234963972928758,0.0,-0.01763055510438104,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.07081222958894229,0.0006022705604715097,0.0030171767919954543,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-11-28,0.0,3,11,False,-0.015124477871201124,-0.01484625574606008,0.0007361065523716487,0
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,-1.302808167573526,0.0,-0.01763055510438104,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.0708253643480101,0.0006022677611153955,0.0028638095466311363,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-11-29,0.0,4,11,False,-0.015124477871201124,-0.01484625574606008,0.0007361065523716487,0
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,-1.0223493477606265,0.0,-0.01763055510438104,-0.027181247215081233,5.206300454537575,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.0708346413189271,0.0006022699376029327,0.002887408827611833,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-11-30,0.0,5,11,True,-0.015124477871201124,-0.01484625574606008,0.0007361065523716487,0
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,-0.8220216193228418,0.0,-0.01763055510438104,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.07084152348316358,0.0006022707025708047,0.002880714314777709,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-12-01,0.0,6,12,True,-0.015124477871201124,-0.01484625574606008,0.0007361065523716487,0
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,0.3799447513038712,0.0,-0.01763055510438104,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.07078625353026845,0.0006023384270948626,0.0031982880754475025,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-12-02,0.0,0,12,False,-0.015124477871201124,-0.015124477871201124,0.0,0
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,0.3799447513038712,0.0,-0.01763055510438104,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.07078499110629771,0.0006022644170453169,0.002526073620630381,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-12-03,0.0,1,12,False,-0.015124477871201124,-0.015124477871201124,0.0,0
-0.15684476816690138,-0.19090449820493607,-0.10877303264298453,0.3799447513038712,0.0,-0.01763055510438104,-0.027181247215081233,-0.19207496930540102,-0.00021634381644337908,-0.0039580996809273,0.008587770201058048,0.0,-0.07078068025879863,0.00060223589061182,0.002741791941065545,B438E1BD-44A3-EF11-B300-005056A80461,FIXED INCOME FUND (USD),2024-12-04,0.0,2,12,False,-0.015124477871201124,-0.015124477871201124,0.0,0
