anomaly_score_adjusted,has_trigger,balance_error_flag,has_activity,inflow_spike,outflow_to_inflow,outflow_spike,raw_balance,balance,cumulativeincome,rolling_income_std,incomedistribution,zero_activity_freq,rolling_30_balance_std,ratio,rolling_30_inflows_mean,is_income_distribution_day,gross_activity,raw_outflows,clientid,fundname,transactiondate,anomaly_score,is_first_transaction,inflows,outflows,client_tenure,raw_inflows,dayofweek,month,is_weekend,lag_inflows,rolling_mean_inflows,rolling_std_inflows,lag_balance,rolling_mean_balance,rolling_std_balance,lag_cumulativeincome,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,is_anomaly
-0.26780391827708666,1,0,1,0,-0.10877303264298453,0,104.011725,104.011725,-0.1403224911273618,-0.07091369180769326,-0.03055635111510901,-8.033819843083116,-0.07098164588220736,-0.07109592745045194,-0.037330186484451904,0,-0.0174662203418828,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-02,0.0,True,104.0,0.0,-1.4856316373157525,104.0,2,10,False,-0.015124477871201124,-0.015095542770186458,7.655508156558564e-05,-0.157338960673584,-0.15812790352436773,0.002082917638430175,-0.13463709697099674,-0.13585823461687602,0.001995716829164665,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.02394,104.02394,-0.14032172417033714,-0.0709101731160285,-0.03055635111510901,-3.826937545889623,-0.07098163557032866,-0.07111767367018917,-0.037416818683391785,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-03,0.0,False,0.0,0.0,-1.4698470601434441,0.0,3,10,False,-0.014921932164098442,-0.015095542770186458,7.655508156558564e-05,-0.16285151600758566,-0.1589149293706063,0.002689199850531136,-0.1403224911273618,-0.13653305416688488,0.002600149173163694,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.035728,104.035728,-0.1403209840238446,-0.07091098453449175,-0.03055635111510901,-2.424643446825125,-0.0709816315531455,-0.07125390734089591,-0.03744569608303842,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-04,0.0,False,0.0,0.0,-1.4540624829711355,0.0,4,10,False,-0.015124477871201124,-0.015095542770186458,7.655508156558564e-05,-0.16285151331636946,-0.1597020529159397,0.0029460505350015587,-0.14032172417033714,-0.1372357165217462,0.002891897553695013,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.047867,104.047867,-0.1403202218387179,-0.07091119256574416,-0.03055635111510901,-1.7234963972928758,-0.07098162735336552,-0.07125390734089591,-0.03746013478286173,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-05,0.0,False,0.0,0.0,-1.438277905798827,0.0,5,10,True,-0.015124477871201124,-0.015095542770186458,7.655508156558564e-05,-0.16285151071923018,-0.16048927414315145,0.0029462282944596606,-0.1403209840238446,-0.13796621677501605,0.0029393979218688515,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.060005,104.060005,-0.14031945971637938,-0.07091139190146728,-0.03055635111510901,-1.302808167573526,-0.0709816231377607,-0.07125390734089591,-0.037468798002755724,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-06,0.0,False,0.0,0.0,-1.4224933286265187,0.0,6,10,True,-0.015124477871201124,-0.015095542770186458,7.655508156558564e-05,-0.16285150804475834,-0.1612765911421878,0.002689687187555045,-0.1403202218387179,-0.13872401058947442,0.0027278837962156563,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.07139,104.07139,-0.14031874487350376,-0.0709104124632398,-0.03055635111510901,-1.0223493477606265,-0.0709816191641764,-0.07146881115947558,-0.03747457348268505,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-07,0.0,False,0.0,0.0,-1.40670875145421,0.0,0,10,False,-0.015124477871201124,-0.015095542770186456,7.655508156558564e-05,-0.16285150537050685,-0.1620640024277416,0.0020835475693951897,-0.14031945971637938,-0.13950867467444875,0.002148164232260966,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.08331,104.08331,-0.14031799643897785,-0.07091069703449021,-0.03055635111510901,-0.8220216193228418,-0.07098161512281852,-0.07145729845490881,-0.03747869882549171,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-08,0.0,False,0.0,0.0,-1.3909241742819016,0.0,1,10,False,-0.015124477871201124,-0.015095542770186456,7.655508156558564e-05,-0.16285150286215674,-0.16285150807950607,1.8588931729538797e-08,-0.14031874487350376,-0.1403202317413032,1.617665014053405e-06,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.095763,104.095763,-0.14031721453837795,-0.07091017589741132,-0.03055635111510901,0.3799447513038712,-0.07098161091944895,-0.07131978559480576,-0.0374817928325967,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-09,0.0,False,0.0,0.0,-1.3751395971095932,0.0,2,10,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16285150023593514,-0.16285150543446278,1.859010166257353e-08,-0.14031799643897785,-0.14031947794287694,1.6187569426603566e-06,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.107849,104.107849,-0.14031645568102225,-0.07091027458554486,-0.03055635111510901,0.3799447513038712,-0.07098160671994039,-0.07131978559480576,-0.03748419928256726,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-10,0.0,False,0.0,0.0,-1.3593550199372848,0.0,3,10,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16285149749228267,-0.16285150279347968,1.8596902452521628e-08,-0.14031721453837795,-0.14031872530154624,1.62508924550555e-06,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.119864,104.119864,-0.14031570128162388,-0.07091039276971436,-0.03055635111510901,0.3799447513038712,-0.07098160253849164,-0.07133961303044853,-0.03748612444254369,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-11,0.0,False,0.0,0.0,-1.3435704427649762,0.0,4,10,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16285149482948783,-0.16285150014535194,1.859999722829596e-08,-0.14031645568102225,-0.14031797062408616,1.6279636520990743e-06,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,104.13192,104.13192,-0.1403149443079121,-0.0709104292980681,-0.03055635111510901,0.3799447513038712,-0.07098159836108148,-0.07133961303044853,-0.037487699573433515,0,-0.01763055510438104,0.0,C54279E6-EB7F-EF11-B2FE-005056A80461,FIXED INCOME FUND (USD),2024-10-12,0.0,False,0.0,0.0,-1.3277858655926678,0.0,5,10,True,-0.015124477871201124,-0.015124477871201124,0.0,-0.16285149218233577,-0.16285149749983654,1.860615866515355e-08,-0.14031570128162388,-0.14031721669111388,1.6336723298402732e-06,0
