anomaly_score_adjusted,has_trigger,balance_error_flag,has_activity,inflow_spike,outflow_to_inflow,outflow_spike,raw_balance,balance,cumulativeincome,rolling_income_std,incomedistribution,zero_activity_freq,rolling_30_balance_std,ratio,rolling_30_inflows_mean,is_income_distribution_day,gross_activity,raw_outflows,clientid,fundname,transactiondate,anomaly_score,is_first_transaction,inflows,outflows,client_tenure,raw_inflows,dayofweek,month,is_weekend,lag_inflows,rolling_mean_inflows,rolling_std_inflows,lag_balance,rolling_mean_balance,rolling_std_balance,lag_cumulativeincome,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,is_anomaly
-0.26780391827708666,1,0,1,0,-0.10877303264298453,0,15002.798258,15002.798258,-0.14014752992729823,-0.07091369180769326,-0.03055635111510901,-8.033819843083116,-0.07098164588220736,-0.07549442018965528,-0.01251339349582607,0,0.0060715741020961455,0.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-03,0.0,True,15000.0,0.0,-1.4856316373157525,15000.0,0,3,False,-0.015124477871201124,-0.010951145994085426,0.011041598285399436,-0.16104777785822783,-0.16083720826785838,0.0005592232798575862,-0.13831032308362548,-0.13876756358576922,0.0006280823811499036,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,15005.49231,15005.49231,-0.1399783754364116,-0.07016538816765543,-0.03055635111510901,-3.826937545889623,-0.07097937156886647,-0.07549378059495712,-0.025008422189078873,0,-0.01763055510438104,0.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-04,0.0,False,0.0,0.0,-1.4698470601434441,0.0,1,3,False,0.014088845268608761,-0.010951145994085426,0.011041598285399436,-0.15956900635001925,-0.16062564252201486,0.0007220216615942002,-0.14014752992729823,-0.13894091443171844,0.000777027412744536,0
1.962789497567425,1,0,1,0,9.195029160176702,0,12007.708234,12007.708234,-0.13983924170919942,-0.06776009967328704,-0.03055635111510901,-5.229231644954122,-0.06891624677366395,-0.07557820709511343,-0.029173431753496473,0,-0.012890129263085606,3000.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-05,0.14656578257111724,False,0.0,3000.0,-1.4540624829711355,0.0,2,3,False,-0.015124477871201124,-0.010951145994085426,0.011041598285399436,-0.15956841279485365,-0.16050847551274933,0.0007082762915137048,-0.1399783754364116,-0.13910731742111226,0.0008331439401000502,1
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,12009.938341,12009.938341,-0.13969921745792008,-0.06781555160343786,-0.03055635111510901,-3.826937545889623,-0.06891701528550379,-0.07557884668981157,-0.03125593653570527,0,-0.01763055510438104,0.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-06,0.0,False,0.0,0.0,-1.438277905798827,0.0,3,3,False,-0.015124477871201124,-0.010951145994085426,0.011041598285399436,-0.16022888639510108,-0.16039128367275365,0.0006708646056400422,-0.13983924170919942,-0.13926664401767605,0.0008229510720321859,0
-0.26780391827708666,1,0,1,0,9.195029160176702,0,10011.79827,10011.79827,-0.13958243599153405,-0.06700891166455691,-0.03055635111510901,-4.668314005328321,-0.0683973639457837,-0.0756338518338528,-0.032505439405030555,0,-0.014470271210184085,2000.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-07,0.0,False,0.0,2000.0,-1.4224933286265187,0.0,4,3,False,-0.015124477871201124,-0.010951145994085426,0.011041598285399436,-0.1602283950565784,-0.16033702816543546,0.0006224745912612374,-0.13969921745792008,-0.13942243351661712,0.0007520094438696403,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,10013.658012,10013.658012,-0.1394656662665286,-0.06685246440341903,-0.03055635111510901,-3.826937545889623,-0.06829889824241304,-0.0756338518338528,-0.03333844131791407,0,-0.01763055510438104,0.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-08,0.0,False,0.0,0.0,-1.40670875145421,0.0,5,3,True,-0.015124477871201124,-0.010951145994085426,0.011041598285399436,-0.16066862648520516,-0.16028276024081653,0.0005639601693834635,-0.13958243599153405,-0.13957468426750458,0.0006037609872915105,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,10015.517567,10015.517567,-0.1393489082829037,-0.06687588135366838,-0.03055635111510901,-3.225954360576267,-0.06831713570227452,-0.0756338518338528,-0.03393344268425945,0,-0.01763055510438104,0.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-09,0.0,False,0.0,0.0,-1.3909241742819016,0.0,6,3,True,-0.015124477871201124,-0.010951145994085426,0.011041598285399436,-0.16066821674572324,-0.16022847869641846,0.0004917130128162119,-0.1394656662665286,-0.13972305358168718,0.00028443962356517215,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,10017.364937,10017.364937,-0.1392329153726595,-0.06765517623317242,-0.03055635111510901,-2.023987989949554,-0.06837540304396403,-0.0756351310232491,-0.03437969370901847,0,-0.01763055510438104,0.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-10,0.0,False,0.0,0.0,-1.3751395971095932,0.0,0,3,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16066780704744124,-0.1603853920798108,0.000415548957658657,-0.1393489082829037,-0.13959239435959594,0.0002664544571986577,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,10019.276875,10019.276875,-0.13911286835834916,-0.06914006679082352,-0.03055635111510901,-2.023987989949554,-0.06844716034388491,-0.07563832899673988,-0.0347267778393866,0,-0.01763055510438104,0.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-11,0.0,False,0.0,0.0,-1.3593550199372848,0.0,1,3,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16066740003376584,-0.16054233007975022,0.00021428749855558372,-0.1392329153726595,-0.1394687504913013,0.0002581785614984461,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,10021.110868,10021.110868,-0.13899771536493827,-0.06947990262974758,-0.03055635111510901,-0.8220216193228418,-0.06852186278893872,-0.07563896859143802,-0.03500444514368111,0,-0.01763055510438104,0.0,CF26CE1C-8FF7-EF11-B302-005056A80461,MONEY MARKET FUND,2025-03-12,0.0,False,0.0,0.0,-1.3435704427649762,0.0,2,3,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16066697879442962,-0.16060485698444762,0.00016600064492155227,-0.13911286835834916,-0.13934853244212114,0.0002527781339711304,0
