anomaly_score_adjusted,has_trigger,balance_error_flag,has_activity,inflow_spike,outflow_to_inflow,outflow_spike,balance,cumulativeincome,rolling_income_std,incomedistribution,zero_activity_freq,rolling_30_balance_std,ratio,rolling_30_inflows_mean,is_income_distribution_day,gross_activity,clientid,fundname,transactiondate,anomaly_score,is_first_transaction,inflows,outflows,client_tenure,dayofweek,month,is_weekend,lag_inflows,rolling_mean_inflows,rolling_std_inflows,lag_balance,rolling_mean_balance,rolling_std_balance,lag_cumulativeincome,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,is_anomaly
-0.26780391827708666,3.312938789786611,-0.2294180983986201,5.238221254097949,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14030618643098455,-0.07091369180769326,-0.03055635111510901,-8.033819843083116,-0.07098164588220736,-0.07581933429631738,-0.035837447056564636,-0.19207496930540102,-0.016050413157282565,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-04,0.0,True,0.0,0.0,-1.4856316373157525,0,11,False,-0.015124477871201124,-0.010672923868944376,0.010943010611855366,1.3808401605882021,1.1583482542031498,0.582510938212972,2.126081702917552,1.6380503362212575,0.7950830525707681,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14028883304723724,-0.070877951953784,-0.03055635111510901,-3.826937545889623,-0.07098141256276098,-0.0758206134857137,-0.036670448969448155,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-05,0.0,False,0.0,0.0,-1.4698470601434441,1,11,False,-0.0131769229952138,-0.010672923868944376,0.010943010611855366,-0.16265405153340137,0.9385133768770979,0.7522426674998546,-0.14030618643098455,1.369049182774777,1.0358527598339093,1
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14027172365816845,-0.07088712474575669,-0.03055635111510901,-2.424643446825125,-0.07098131823564632,-0.07582317186450631,-0.036948116273742664,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-06,0.0,False,0.0,0.0,-1.4540624829711355,2,11,False,-0.015124477871201124,-0.010672923868944376,0.010943010611855366,-0.16265399064119265,0.7186402560730565,0.8243764189428935,-0.14028883304723724,1.0891492006702523,1.1521795409239635,1
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14025428475698618,-0.07088285509368934,-0.03055635111510901,-1.7234963972928758,-0.07098122166453943,-0.07582381145920446,-0.037086949925889914,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-07,0.0,False,0.0,0.0,-1.438277905798827,3,11,False,-0.015124477871201124,-0.010672923868944376,0.010943010611855366,-0.16265393060514982,0.49872889587048136,0.8248893646532635,-0.14027172365816845,0.7983515524927239,1.1715139717390413,1
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14023599294182745,-0.07083276220524999,-0.03055635111510901,-1.302808167573526,-0.07098111991053346,-0.07582509064860075,-0.03717025011717827,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-08,0.0,False,0.0,0.0,-1.4224933286265187,4,11,False,-0.015124477871201124,-0.014846255746060074,0.0007361065394880138,-0.16265386941286444,0.27830652257701116,0.7530833442190015,-0.14025428475698618,0.49646868629960045,1.0876592648794905,1
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14021845697019408,-0.07084106749073492,-0.03055635111510901,-1.0223493477606265,-0.07098102118737606,-0.07582509064860075,-0.037225783578037165,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-09,0.0,False,0.0,0.0,-1.40670875145421,5,11,True,-0.015124477871201124,-0.014846255746060074,0.0007361065394880138,-0.16265380522774397,0.057845252781857114,0.5833859186420008,-0.14023599294182745,0.18350088930173425,0.8565976229364274,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.1402009226310522,-0.0708472467279765,-0.03055635111510901,-0.8220216193228418,-0.0709809236961102,-0.07582509064860075,-0.03726545033579353,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-10,0.0,False,0.0,0.0,-1.3909241742819016,6,11,True,-0.015124477871201124,-0.014846255746060074,0.0007361065394880138,-0.16265374369484295,-0.16265386761183895,0.0,-0.14021845697019408,-0.1402537714909235,3.796329558630455e-05,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14018390371968065,-0.07084661433345107,-0.03055635111510901,0.3799447513038712,-0.07098082877982573,-0.07582700943269523,-0.037295200404110794,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-11,0.0,False,0.0,0.0,-1.3751395971095932,0,11,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16265368216767026,-0.16265380631408294,0.0,-0.1402009226310522,-0.14023630253216576,3.795896635506135e-05,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14016690690973135,-0.07084065811388399,-0.03055635111510901,0.3799447513038712,-0.07098073515355893,-0.07582956781148784,-0.03731833934613534,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-12,0.0,False,0.0,0.0,-1.3593550199372848,1,11,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.1626536224491094,-0.1626537451950699,0.0,-0.14018390371968065,-0.14021888451252207,3.781067819898878e-05,0
-0.26780391827708666,-0.30184680836328126,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.10877303264298453,-0.09618500370203342,0.0,-0.14014947365948097,-0.0708440190564285,-0.03055635111510901,0.3799447513038712,-0.07098064080134102,-0.075830207406186,-0.03733685049975497,-0.19207496930540102,-0.01763055510438104,E02988D7-1C98-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-11-13,0.0,False,0.0,0.0,-1.3435704427649762,2,11,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.1626535628081014,-0.16265368391371204,0.0,-0.14016690690973135,-0.14020142022699528,3.756941720175445e-05,0
