has_trigger,balance_error_flag,has_activity,inflow_spike,outflow_spike,outflow_to_inflow,balance,cumulativeincome,rolling_income_std,incomedistribution,rolling_30_balance_std,zero_activity_freq,ratio,rolling_30_inflows_mean,gross_activity,is_income_distribution_day,outflows,clientid,fundname,transactiondate,anomaly_score,is_first_transaction,inflows,client_tenure,dayofweek,month,is_weekend,lag_inflows,rolling_mean_inflows,rolling_std_inflows,lag_balance,rolling_mean_balance,rolling_std_balance,lag_cumulativeincome,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,is_anomaly
-0.2729646889323274,-0.2294180983986201,5.238221254097949,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.1399834697514501,-0.07091369180769326,-0.03055635111510901,-0.07098164588220736,-8.033819843083116,0.2203712140664003,0.0441307365802533,0.05979640030344444,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-03-24,0.0,True,0.08030571105217783,-1.4856316373157525,0,3,False,-0.015124477871201124,0.01659284439487818,0.05490947013742796,-0.08723990194130883,-0.10470387318657062,0.02195718516931831,-0.08727997787883497,-0.09997189603556454,0.018080638062604237,0
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.13964454318561675,-0.07081865122772761,-0.03055635111510901,-0.07097708895199395,-3.826937545889623,0.21665708765422145,0.003313642848960813,-0.01763055510438104,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-03-25,0.0,False,0.0,-1.4698470601434441,1,3,False,0.08030571105217783,0.016592844394878178,0.05490947013742796,-0.1520775301123186,-0.11191455736509284,0.02817586559119119,-0.1399834697514501,-0.10579107008281688,0.02344216048376921,1
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.13930860225821806,-0.07058905536678982,-0.03055635111510901,-0.07097522977377282,-2.424643446825125,0.21676901672639837,-0.010292055061470014,-0.01763055510438104,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-03-26,0.0,False,0.0,-1.4540624829711355,2,3,False,-0.015124477871201124,0.016592844394878185,0.05490947013742796,-0.15207634083491392,-0.11912616003931688,0.03137298469476634,-0.13964454318561675,-0.11187200189383717,0.026076509036159108,0
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.1389729045720403,-0.07057979889775993,-0.03055635111510901,-0.07097337917635411,-1.7234963972928758,0.21667307752167533,-0.017094904016685432,-0.01763055510438104,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-03-27,0.0,False,0.0,-1.438277905798827,3,3,False,-0.015124477871201124,0.016592844394878185,0.05490947013742796,-0.15207516203397428,-0.12633868126293804,0.032453442140143916,-0.13930860225821806,-0.11821470677098997,0.02656292415656488,0
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.13863682174346476,-0.07060490068214033,-0.03055635111510901,-0.07097152940954495,-1.302808167573526,0.2167869253779467,-0.021176613389814677,-0.01763055510438104,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-03-28,0.0,False,0.0,-1.4224933286265187,4,3,False,-0.015124477871201124,0.01659284439487818,0.05490947013742796,-0.1520739840865567,-0.1335520996709007,0.03163415548138586,-0.1389729045720403,-0.12481309598772142,0.024771983735727927,0
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.13829365226965423,-0.07043676684267444,-0.03055635111510901,-0.07096964468463507,-1.0223493477606265,0.2167869253779467,-0.023897752971900842,-0.01763055510438104,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-03-29,0.0,False,0.0,-1.40670875145421,5,3,True,-0.015124477871201124,-0.0014915937392898442,0.036069221065596145,-0.1520728047876925,-0.14281247491698398,0.024505201385009417,-0.13863682174346476,-0.13173142452275416,0.019609711903724895,0
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.13795065169591716,-0.0703907717406783,-0.03055635111510901,-0.07096775039778087,-0.8220216193228418,0.2167869253779467,-0.02584142410196239,-0.01763055510438104,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-03-30,0.0,False,0.0,-1.3909241742819016,6,3,True,-0.015124477871201124,-0.0014915937392898442,0.036069221065596145,-0.15207160062212297,-0.15207397421811358,2.5643530211840866e-06,-0.13829365226965423,-0.13897009221090878,0.0007307888751324277,0
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.1376147378302031,-0.07036484287230971,-0.021878004746421546,-0.07096588135468872,0.3799447513038712,0.2167869253779467,-0.027299177449508553,-0.01763055510438104,5.206300454537575,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-03-31,0.0,False,0.0,-1.3751395971095932,0,3,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.15207039704921585,-0.1520727868225301,2.567750079882434e-06,-0.13795065169591716,-0.13863170193644492,0.000731757005747401,0
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.1399868750657548,-0.07035336772716372,-0.03055635111510901,-0.07096402351857517,0.3799447513038712,0.21609232553575172,-0.02843298560871112,-0.01763055510438104,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-04-01,0.0,False,0.0,-1.3593550199372848,1,4,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.15206921834323442,-0.1520716007173959,2.5700679776920564e-06,-0.1376147378302031,-0.13868060649075034,0.0008171816525024578,0
-0.2729646889323274,-0.2294180983986201,-0.19090449820493607,-0.10633095234112469,-0.09618500370203342,-0.10877303264298453,0.0,-0.1396509436821521,-0.07035321285868139,-0.03055635111510901,-0.07096217306468577,0.3799447513038712,0.2138742111225545,-0.029340032136073176,-0.01763055510438104,-0.19207496930540102,0.0,B80CCE86-3206-F011-B304-005056A80461,FIXED INCOME FUND (USD),2025-04-02,0.0,False,0.0,-1.3435704427649762,2,4,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.15206803809897448,-0.15207041461704582,2.5684438336683593e-06,-0.1399868750657548,-0.1387295124084552,0.0008695926420528434,0
