anomaly_score_adjusted,has_trigger,balance_error_flag,has_activity,inflow_spike,outflow_to_inflow,outflow_spike,raw_balance,balance,cumulativeincome,rolling_income_std,incomedistribution,zero_activity_freq,rolling_30_balance_std,ratio,rolling_30_inflows_mean,is_income_distribution_day,gross_activity,raw_outflows,clientid,fundname,transactiondate,anomaly_score,is_first_transaction,inflows,outflows,client_tenure,raw_inflows,dayofweek,month,is_weekend,lag_inflows,rolling_mean_inflows,rolling_std_inflows,lag_balance,rolling_mean_balance,rolling_std_balance,lag_cumulativeincome,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,is_anomaly
-0.26780391827708666,1,0,1,0,-0.10877303264298453,0,3500.842054,3500.842054,-0.14027035632103163,-0.07091369180769326,-0.03055635111510901,-8.033819843083116,-0.07098164588220736,-0.0757445017166334,-0.031672437492147036,0,-0.012100058289536366,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-16,0.0,True,3500.0,0.0,-1.4856316373157525,3500.0,0,12,False,-0.015124477871201124,-0.014150700433207458,0.002576373139177185,-0.16264241601913204,-0.1625654605353674,0.00020386586572680018,-0.1399839257816482,-0.14004940760458115,9.937291128794672e-05,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,3501.672852,3501.672852,-0.14021819206706784,-0.07083286243345123,-0.03055635111510901,-3.826937545889623,-0.07098094452418792,-0.07574897887952046,-0.03458794418723935,0,-0.01763055510438104,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-17,0.0,False,0.0,0.0,-1.4698470601434441,0.0,1,12,False,-0.008308035805245485,-0.01415070043320746,0.002576373139177185,-0.16210312429559218,-0.1624883640054666,0.00026322727646836095,-0.14027035632103163,-0.14007469335381398,0.0001177532482711386,0
1.9611510687950384,1,0,1,0,9.195029160176702,0,501.789465,501.789465,-0.14021087015470474,-0.06669285064894802,-0.03055635111510901,-5.229231644954122,-0.06891415816081053,-0.07588393336083091,-0.03555977975227013,0,-0.012890129263085606,3000.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-18,0.14645812619882362,False,0.0,3000.0,-1.4540624829711355,0.0,2,12,False,-0.015124477871201124,-0.01415070043320746,0.002576373139177185,-0.16210294125367447,-0.1625056926238317,0.0002786143039601817,-0.14021819206706784,-0.14010055818901268,0.00012585852430513033,1
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,501.889654,501.889654,-0.14020457947461115,-0.06664429037452577,-0.03055635111510901,-3.826937545889623,-0.06891419270943702,-0.07588649173962353,-0.036045697534785516,0,-0.01763055510438104,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-19,0.0,False,0.0,0.0,-1.438277905798827,0.0,3,12,False,-0.015124477871201124,-0.01415070043320746,0.002576373139177185,-0.1627638773753908,-0.16252302379055075,0.00029199730162346953,-0.14021087015470474,-0.14012714926761768,0.0001252796588525408,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,502.006591,502.006591,-0.14019723721889346,-0.06687917729621325,-0.03055635111510901,-2.985561086450924,-0.06902032400039079,-0.07588649173962353,-0.03633724820429474,0,-0.01763055510438104,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-20,0.0,False,0.0,0.0,-1.4224933286265187,0.0,4,12,False,-0.015124477871201124,-0.01415070043320746,0.002576373139177185,-0.16276385530168974,-0.16254035709126374,0.0003036404500523415,-0.14020457947461115,-0.14015434850309338,0.00011505794786335208,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,502.124559,502.124559,-0.1401898302286123,-0.06711870830310886,-0.03055635111510901,-2.424643446825125,-0.0691325292238631,-0.07588649173962353,-0.036531615317300904,0,-0.01763055510438104,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-21,0.0,False,0.0,0.0,-1.40670875145421,0.0,5,12,True,-0.015124477871201124,-0.01415070043320746,0.002576373139177185,-0.1627638295380592,-0.162557692475832,0.00031373706868874157,-0.14019723721889346,-0.14018214160665504,9.12674458879803e-05,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,502.242515,502.242515,-0.14018242399178873,-0.06733275235933443,-0.03055635111510901,-2.023987989949554,-0.06923442865328425,-0.07588649173962353,-0.036670448969448155,0,-0.01763055510438104,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-22,0.0,False,0.0,0.0,-1.3909241742819016,0.0,6,12,True,-0.015124477871201124,-0.014150700433207458,0.002576373139177185,-0.1627638035472781,-0.16257502983869035,0.0003224320557164513,-0.1401898302286123,-0.14021049849381798,2.9040934228292016e-05,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,502.355268,502.355268,-0.14017534444161267,-0.06816057010743189,-0.03055635111510901,-0.8220216193228418,-0.0693241218256343,-0.07588713133432168,-0.03677457420855859,0,-0.01763055510438104,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-23,0.0,False,0.0,0.0,-1.3751395971095932,0.0,0,12,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16276377755914087,-0.1626694053275103,0.00024978288450206544,-0.14018242399178873,-0.1401969253681867,1.5402894243137255e-05,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,502.477738,502.477738,-0.1401676547791641,-0.07084139101677103,-0.03055635111510901,-0.8220216193228418,-0.06940275351069453,-0.07588649173962353,-0.03685556050564449,0,-0.01763055510438104,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-24,0.0,False,0.0,0.0,-1.3593550199372848,0.0,1,12,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16276375271733173,-0.16276380311050925,0.0,-0.14017534444161267,-0.14018970575562903,1.5615858250673156e-05,0
-0.26780391827708666,0,0,0,0,-0.10877303264298453,0,502.595016,502.595016,-0.14016029111269357,-0.0708410890019585,-0.03055635111510901,0.3799447513038712,-0.06947196548415091,-0.07588649173962353,-0.03692034954331321,0,-0.01763055510438104,0.0,F35102D2-A496-EF11-B2FF-005056A80461,MONEY MARKET FUND,2024-12-25,0.0,False,0.0,0.0,-1.3435704427649762,0.0,2,12,False,-0.015124477871201124,-0.015124477871201124,0.0,-0.16276372573466727,-0.16276377775629736,0.0,-0.1401676547791641,-0.14018248017819884,1.5890022156557285e-05,0
