Fund,Total_Transactions,Low_Risk,Medium_Risk,High_Risk,Low_Risk_Pct,Medium_Risk_Pct,High_Risk_Pct,Min_Fusion_Score,Max_Fusion_Score,Mean_Fusion_Score,Low_Threshold,High_Threshold,Best_Model
MONEY MARKET FUND,142266,131893,674,9699,92.70872871944104,0.4737604206205277,6.817510859938425,0.0,0.7180516361331615,0.008996289494709861,0.043206152717611496,0.07741601594051313,LSTM Autoencoder
FIXED INCOME FUND (USD),10926,10518,59,349,96.26578802855575,0.5399963390078711,3.19421563243639,0.0,0.6,0.010127493327879817,0.06273272308359411,0.1153379528393084,Autoencoder
